File,Title,Date Created,Date Updated
Remove_ticket_from_reservation_waiting_list_once_calendar_item_added.json,Remove ticket from reservation waiting list once calendar item added,2016-06-16T23:50:50Z,2017-08-15T10:57:33Z
Warranty_job.json,Warranty job,2016-07-28T12:09:58Z,2017-08-15T10:57:33Z
"Remove_tag_""callback""_if_pending_customer_reply_or_solved.json","Remove tag ""callback"" if pending customer reply or solved",2016-08-02T06:07:48Z,2017-08-15T10:57:33Z
Set_request_type_to_Collection_Point_Walk-in.json,Set request type to Collection Point Walk-in,2016-10-05T07:05:40Z,2017-08-15T10:57:33Z
Set_device_type_to_Desktop.json,Set device type to Desktop,2016-10-05T07:12:39Z,2017-08-15T10:57:33Z
Set_high_priority_for_follow-up_requests.json,Set high priority for follow-up requests,2016-11-24T23:57:57Z,2017-08-15T10:57:33Z
"Set_Support_Type_to_Marketing_if_facebook_post_subject_contains_""Help_desk_approaching"".json","Set Support Type to Marketing if facebook post subject contains ""Help desk approaching""",2017-03-23T13:28:34Z,2017-08-15T10:57:33Z
ConnectWise_Automate_-_New_incident.json,ConnectWise Automate - New incident,2017-04-26T12:27:21Z,2017-09-08T03:47:17Z
Set_priority_to_normal_for_newly_created_tickets.json,Set priority to normal for newly created tickets,2017-05-08T03:07:50Z,2017-08-15T10:57:33Z
Tymeshift__Satisfaction_Change.json,Tymeshift: Satisfaction Change,2017-06-02T17:08:29Z,2017-08-15T10:57:33Z
[Hubspot_Integration]_-_Ticket_Created.json,[Hubspot Integration] - Ticket Created,2017-08-16T22:40:46Z,2017-08-16T22:40:46Z
[Hubspot_Integration]_-_Ticket_Solved.json,[Hubspot Integration] - Ticket Solved,2017-08-16T22:40:46Z,2017-08-16T22:40:46Z
[Hubspot_Integration]_-_Ticket_CSAT_Rating_Submitted.json,[Hubspot Integration] - Ticket CSAT Rating Submitted,2017-08-16T22:40:46Z,2017-08-16T22:40:46Z
Tymeshift__Ticket_Satisfaction_Change.json,Tymeshift: Ticket Satisfaction Change,2017-09-13T14:43:08Z,2017-09-13T14:43:08Z
Tymeshift__Ticket_Status_Change_to_Solved.json,Tymeshift: Ticket Status Change to Solved,2017-09-13T14:43:08Z,2017-09-13T14:43:08Z
Tymeshift__Ticket_Create.json,Tymeshift: Ticket Create,2017-09-13T14:43:08Z,2017-09-13T14:43:08Z
Tymeshift__Ticket_Update.json,Tymeshift: Ticket Update,2017-09-13T14:43:09Z,2017-09-13T14:43:09Z
Set_priority_to_normal_for_newly_created_tickets.json,Set priority to normal for newly created tickets,2016-12-13T22:50:31Z,2017-05-08T03:08:00Z
Pending_notification_24_hours.json,Pending notification 24 hours,2013-03-13T00:29:03Z,2017-04-26T23:55:47Z
Pending_notification_48_hours.json,Pending notification 48 hours,2013-03-13T00:29:03Z,2017-04-26T23:55:27Z
Pending_notification_7_days.json,Pending notification 7 days,2017-02-08T04:19:47Z,2017-04-26T23:55:12Z
Close_Facebook_Posts_from_IT_Solver_Blog_Posts_.json,Close Facebook Posts from IT Solver Blog Posts ,2015-06-01T08:54:14Z,2017-04-26T23:52:12Z
Request_customer_satisfaction_rating.json,Request customer satisfaction rating,2014-09-18T09:37:50Z,2017-04-26T23:52:12Z
Close_ticket_4_days_after_status_is_set_to_pending.json,Close ticket 4 days after status is set to pending,2016-05-13T03:37:30Z,2017-04-27T00:37:54Z
Close_ticket_9_days_after_status_is_set_to_pending_7_days.json,Close ticket 9 days after status is set to pending 7 days,2016-08-17T03:10:44Z,2017-04-27T00:37:54Z
Close_ticket_9_days_after_status_is_set_to_pending_7_days.json,Close ticket 9 days after status is set to pending 7 days,2017-03-22T05:56:05Z,2017-04-27T00:37:54Z
Close_ticket_90_days_after_status_is_set_to_solved.json,Close ticket 90 days after status is set to solved,2013-03-13T00:29:03Z,2017-11-09T01:47:34Z
"Close_FaceBook_Post_""Help_desk_approaching""_after_8_hours_of_inactivity.json","Close FaceBook Post ""Help desk approaching"" after 8 hours of inactivity",2017-03-13T08:06:39Z,2017-08-21T03:20:58Z
Close_Facebook_Message_ticket_1_day_after_status_is_set_to_solved.json,Close Facebook Message ticket 1 day after status is set to solved,2013-04-12T02:13:12Z,2017-08-21T03:20:20Z
Close_Twitter_ticket_1_day_after_status_is_set_to_Solved.json,Close Twitter ticket 1 day after status is set to Solved,2013-04-16T14:11:55Z,2017-04-27T00:37:54Z
Close_really_old_pending_tickets.json,Close really old pending tickets,2017-02-09T15:27:30Z,2017-04-27T00:37:54Z
Request_customer_satisfaction_rating_via_Google_or_Facebook_review.json,Request customer satisfaction rating via Google or Facebook review,2017-01-25T10:25:45Z,2017-10-31T07:46:51Z
Close_FaceBook_Post_by_IT_Solver_after_8_hours_of_inactivity.json,Close FaceBook Post by IT Solver after 8 hours of inactivity,2017-08-21T02:41:33Z,2017-08-21T03:21:20Z
